time,open,high,low,close,volume
2019-02-14 19:19:00,110.656,110.673,110.652,110.667,106.0
2019-02-14 19:20:00,110.667,110.688,110.657,110.683,99.0
2019-02-14 19:21:00,110.683,110.692,110.682,110.687,84.0
2019-02-14 19:22:00,110.687,110.703,110.683,110.696,85.0
2019-02-14 19:23:00,110.696,110.697,110.689,110.689,84.0
2019-02-14 19:24:00,110.69,110.697,110.69,110.69,87.0
2019-02-14 19:25:00,110.69,110.699,110.689,110.691,101.0
2019-02-14 19:26:00,110.691,110.692,110.676,110.676,96.0
2019-02-14 19:27:00,110.677,110.678,110.675,110.675,63.0
2019-02-14 19:28:00,110.675,110.677,110.67,110.673,86.0
2019-02-14 19:29:00,110.674,110.676,110.66,110.663,94.0
2019-02-14 19:30:00,110.664,110.667,110.654,110.659,107.0
2019-02-14 19:31:00,110.659,110.66,110.641,110.647,105.0
2019-02-14 19:32:00,110.648,110.648,110.636,110.644,66.0
2019-02-14 19:33:00,110.644,110.647,110.638,110.638,81.0
2019-02-14 19:34:00,110.638,110.651,110.638,110.648,82.0
2019-02-14 19:35:00,110.648,110.649,110.64,110.643,78.0
2019-02-14 19:36:00,110.643,110.644,110.636,110.637,85.0
2019-02-14 19:37:00,110.637,110.646,110.637,110.643,80.0
2019-02-14 19:38:00,110.642,110.648,110.64,110.643,88.0
2019-02-14 19:39:00,110.643,110.65,110.642,110.643,74.0
2019-02-14 19:40:00,110.643,110.651,110.643,110.65,71.0
2019-02-14 19:41:00,110.651,110.662,110.65,110.661,87.0
2019-02-14 19:42:00,110.661,110.663,110.656,110.657,83.0
2019-02-14 19:43:00,110.657,110.661,110.639,110.642,84.0
2019-02-14 19:44:00,110.642,110.648,110.638,110.643,86.0
2019-02-14 19:45:00,110.643,110.649,110.639,110.642,84.0
2019-02-14 19:46:00,110.642,110.645,110.636,110.637,75.0
2019-02-14 19:47:00,110.637,110.638,110.621,110.622,74.0
2019-02-14 19:48:00,110.622,110.625,110.621,110.621,68.0
2019-02-14 19:49:00,110.621,110.621,110.609,110.615,88.0
2019-02-14 19:50:00,110.615,110.615,110.598,110.599,76.0
2019-02-14 19:51:00,110.597,110.602,110.59,110.59,74.0
2019-02-14 19:52:00,110.59,110.59,110.569,110.581,94.0
2019-02-14 19:53:00,110.581,110.589,110.576,110.576,106.0
2019-02-14 19:54:00,110.576,110.581,110.572,110.576,83.0
2019-02-14 19:55:00,110.575,110.583,110.575,110.583,77.0
2019-02-14 19:56:00,110.583,110.588,110.575,110.582,71.0
2019-02-14 19:57:00,110.583,110.586,110.575,110.575,77.0
2019-02-14 19:58:00,110.575,110.581,110.575,110.58,73.0
2019-02-14 19:59:00,110.58,110.583,110.577,110.579,78.0
2019-02-14 20:00:00,110.58,110.608,110.58,110.603,107.0
2019-02-14 20:01:00,110.602,110.613,110.59,110.591,93.0
2019-02-14 20:02:00,110.591,110.594,110.585,110.588,83.0
2019-02-14 20:03:00,110.588,110.594,110.583,110.587,75.0
2019-02-14 20:04:00,110.588,110.602,110.587,110.598,94.0
2019-02-14 20:05:00,110.598,110.607,110.596,110.607,83.0
2019-02-14 20:06:00,110.606,110.608,110.6,110.601,95.0
2019-02-14 20:07:00,110.602,110.606,110.596,110.605,75.0
2019-02-14 20:08:00,110.606,110.613,110.605,110.613,71.0
2019-02-14 20:09:00,110.613,110.614,110.611,110.613,87.0
2019-02-14 20:10:00,110.613,110.613,110.601,110.606,72.0
2019-02-14 20:11:00,110.606,110.608,110.602,110.606,57.0
2019-02-14 20:12:00,110.605,110.607,110.604,110.605,62.0
2019-02-14 20:13:00,110.605,110.606,110.593,110.593,61.0
2019-02-14 20:14:00,110.593,110.598,110.592,110.593,74.0
2019-02-14 20:15:00,110.593,110.594,110.592,110.593,51.0
2019-02-14 20:16:00,110.593,110.613,110.593,110.612,63.0
2019-02-14 20:17:00,110.612,110.616,110.612,110.612,54.0
2019-02-14 20:18:00,110.612,110.613,110.604,110.604,57.0
2019-02-14 20:19:00,110.604,110.612,110.602,110.612,60.0
2019-02-14 20:20:00,110.612,110.616,110.608,110.61,69.0
2019-02-14 20:21:00,110.61,110.611,110.599,110.605,74.0
2019-02-14 20:22:00,110.605,110.608,110.599,110.607,70.0
2019-02-14 20:23:00,110.607,110.61,110.605,110.61,63.0
2019-02-14 20:24:00,110.61,110.613,110.604,110.612,66.0
2019-02-14 20:25:00,110.612,110.613,110.605,110.606,75.0
2019-02-14 20:26:00,110.606,110.613,110.603,110.605,66.0
2019-02-14 20:27:00,110.605,110.606,110.598,110.598,63.0
2019-02-14 20:28:00,110.6,110.605,110.6,110.604,64.0
2019-02-14 20:29:00,110.604,110.619,110.603,110.615,87.0
2019-02-14 20:30:00,110.614,110.627,110.611,110.627,74.0
2019-02-14 20:31:00,110.627,110.631,110.625,110.626,66.0
2019-02-14 20:32:00,110.626,110.631,110.62,110.62,76.0
2019-02-14 20:33:00,110.622,110.625,110.621,110.624,77.0
2019-02-14 20:34:00,110.624,110.631,110.622,110.623,84.0
2019-02-14 20:35:00,110.623,110.636,110.622,110.633,71.0
2019-02-14 20:36:00,110.633,110.635,110.633,110.635,79.0
2019-02-14 20:37:00,110.635,110.635,110.625,110.626,77.0
2019-02-14 20:38:00,110.626,110.63,110.626,110.627,58.0
2019-02-14 20:39:00,110.627,110.629,110.621,110.624,63.0
2019-02-14 20:40:00,110.625,110.626,110.623,110.625,62.0
2019-02-14 20:41:00,110.625,110.634,110.625,110.632,69.0
2019-02-14 20:42:00,110.632,110.633,110.626,110.632,64.0
2019-02-14 20:43:00,110.632,110.632,110.624,110.627,67.0
